LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
es,activity.ticket.attachment_remove.other,removed %s{{count}} files %s{{timestamp}} %s{{removed}},removed %s_count}} files %s_timestamp}} %s_removed}},removed %s_count_var_ files %s_timestamp_var_ %s_removed_var_,eliminado archivos s_count_var_%%% s_timestamp_var_ s_removed_var_,eliminado archivos s_count}}%%% s_timestamp}} s_removed}},eliminado archivos s{{count}}%%% s{{timestamp}} s{{removed}},eliminado archivos s{{count}}%%% s{{timestamp}} s{{removed}},"'activity.ticket.attachment_remove.other':'eliminado archivos s{{count}}%%% s{{timestamp}} s{{removed}}',",
es,activity.ticket.categories,changed the category from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the category from %s_from}} %sto %s_to}} %s_timestamp}},changed the category from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_,cambiado la categoría de s_from_var_%%% sto s_to_var_% s_timestamp_var_,cambiado la categoría de s_from}}%%% sto s_to}}% s_timestamp}},cambiado la categoría de s{{from}}%%% sto s{{to}}% s{{timestamp}},cambiado la categoría de s{{from}}%%% sto s{{to}}% s{{timestamp}},"'activity.ticket.categories':'cambiado la categoría de s{{from}}%%% sto s{{to}}% s{{timestamp}}',",
es,activity.ticket.cc_add,added %s{{added}} %sto CC %s{{timestamp}},added %s_added}} %sto CC %s_timestamp}},added %s_added_var_ %sto CC %s_timestamp_var_,añadido s_added_var_%%% sto CC s_timestamp_var_,añadido s_added}}%%% sto CC s_timestamp}},añadido s{{added}}%%% sto CC s{{timestamp}},añadido s{{added}}%%% sto CC s{{timestamp}},"'activity.ticket.cc_add':'añadido s{{added}}%%% sto CC s{{timestamp}}',",
es,activity.ticket.msg_sent,sent to %svia %s{{timestamp}},sent to %svia %s_timestamp}},sent to %svia %s_timestamp_var_,enviado a% SVIA% s_timestamp_var_,enviado a% SVIA% s_timestamp}},enviado a% SVIA% s{{timestamp}},enviado a% SVIA% s{{timestamp}},"'activity.ticket.msg_sent':'enviado a% SVIA% s{{timestamp}}',",
es,activity.ticket.cc_remove,removed %s{{removed}} %sfrom CC %s{{timestamp}},removed %s_removed}} %sfrom CC %s_timestamp}},removed %s_removed_var_ %sfrom CC %s_timestamp_var_,eliminado% s_removed_var_% sfrom CC% s_timestamp_var_,eliminado% s_removed}}% sfrom CC% s_timestamp}},eliminado% s{{removed}}% sfrom CC% s{{timestamp}},eliminado% s{{removed}}% sfrom CC% s{{timestamp}},"'activity.ticket.cc_remove':'eliminado% s{{removed}}% sfrom CC% s{{timestamp}}',",
es,activity.ticket.comment,commented %s{{timestamp}} %s{{comment}},commented %s_timestamp}} %s_comment}},commented %s_timestamp_var_ %s_comment_var_,comentado% s_timestamp_var_% s_comment_var_,comentado% s_timestamp}}% s_comment}},comentado% s{{timestamp}}% s{{comment}},comentado% s{{timestamp}}% s{{comment}},"'activity.ticket.comment':'comentado% s{{timestamp}}% s{{comment}}',",
es,activity.ticket.create,created this ticket %s{{timestamp}},created this ticket %s_timestamp}},created this ticket %s_timestamp_var_,creado este s_timestamp_var_% de entradas,creado este s_timestamp}}% de entradas,creado este s{{timestamp}}% de entradas,creado este s{{timestamp}}% de entradas,"'activity.ticket.create':'creado este s{{timestamp}}% de entradas',",
es,activity.ticket.to_from,changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the _type}} from %s_from}} %sto %s_to}} %s_timestamp}},changed the _type_var_ from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_,cambiado el _type_var_ de s_from_var_%%% sto s_to_var_% s_timestamp_var_,cambiado el _type}} de s_from}}%%% sto s_to}}% s_timestamp}},cambiado el {{type}} de s{{from}}%%% sto s{{to}}% s{{timestamp}},cambiado el {{type}} de s{{from}}%%% sto s{{to}}% s{{timestamp}},"'activity.ticket.to_from':'cambiado el {{type}} de s{{from}}%%% sto s{{to}}% s{{timestamp}}',",
es,admin.address_type.location,Location,Location,Location,Ubicación,Ubicación,Ubicación,Ubicación,"'admin.address_type.location':'Ubicación',",
es,admin.address_type.office,Office,Office,Office,Oficina,Oficina,Oficina,Oficina,"'admin.address_type.office':'Oficina',",
es,admin.address_type.shipping,Shipping,Shipping,Shipping,Envío,Envío,Envío,Envío,"'admin.address_type.shipping':'Envío',",
es,admin.address.add,Add Address,Add Address,Add Address,Añadir dirección,Añadir dirección,Añadir dirección,Añadir dirección,"'admin.address.add':'Añadir dirección',",
es,admin.address.address,Street Address,Street Address,Street Address,Dirección,Dirección,Dirección,Dirección,"'admin.address.address':'Dirección',",
es,admin.address.city,City,City,City,Ciudad,Ciudad,Ciudad,Ciudad,"'admin.address.city':'Ciudad',",
es,admin.address.country.one,Country,Country,Country,País,País,País,País,"'admin.address.country.one':'País',",
es,admin.address.country.other,Countries,Countries,Countries,Países,Países,Países,Países,"'admin.address.country.other':'Países',",
es,admin.address.country.select,Select a Country,Select a Country,Select a Country,Seleccione un país,Seleccione un país,Seleccione un país,Seleccione un país,"'admin.address.country.select':'Seleccione un país',",
es,admin.address.label,Type,Type,Type,Tipo,Tipo,Tipo,Tipo,"'admin.address.label':'Tipo',",
es,admin.address.postal_code,Zip,Zip,Zip,Cremallera,Cremallera,Cremallera,Cremallera,"'admin.address.postal_code':'Cremallera',",
es,admin.address.state.one,State,State,State,Estado,Estado,Estado,Estado,"'admin.address.state.one':'Estado',",
es,admin.address.state.other,States,States,States,Unidos,Unidos,Unidos,Unidos,"'admin.address.state.other':'Unidos',",
es,admin.address.state.select,Select a State,Select a State,Select a State,Selecciona un estado,Selecciona un estado,Selecciona un estado,Selecciona un estado,"'admin.address.state.select':'Selecciona un estado',",
es,admin.addresstype.office,Office,Office,Office,Oficina,Oficina,Oficina,Oficina,"'admin.addresstype.office':'Oficina',",
es,admin.addresstype.shipping,Shipping,Shipping,Shipping,Envío,Envío,Envío,Envío,"'admin.addresstype.shipping':'Envío',",
es,admin.amount,Amount,Amount,Amount,Cantidad,Cantidad,Cantidad,Cantidad,"'admin.amount':'Cantidad',",
es,admin.amount_and_default_value,Amount: {{value}},Amount: _value}},Amount: _value_var_,Monto: _value_var_,Monto: _value}},Monto: {{value}},Monto: {{value}},"'admin.amount_and_default_value':'Monto: {{value}}',",
es,admin.approval.one,Approval,Approval,Approval,Aprobación,Aprobación,Aprobación,Aprobación,"'admin.approval.one':'Aprobación',",
es,admin.approval.other,Approvals,Approvals,Approvals,aprobaciones,aprobaciones,aprobaciones,aprobaciones,"'admin.approval.other':'aprobaciones',",
es,admin.automation,Automations,Automations,Automations,automatizaciones,automatizaciones,automatizaciones,automatizaciones,"'admin.automation':'automatizaciones',",
es,admin.automation.action.add,Action,Action,Action,Acción,Acción,Acción,Acción,"'admin.automation.action.add':'Acción',",
es,admin.automation.actions,Actions,Actions,Actions,Comportamiento,Comportamiento,Comportamiento,Comportamiento,"'admin.automation.actions':'Comportamiento',",
es,admin.automation.assignee,Assignee,Assignee,Assignee,Cesionario,Cesionario,Cesionario,Cesionario,"'admin.automation.assignee':'Cesionario',",
es,admin.automation.categories,Categories,Categories,Categories,Categorías,Categorías,Categorías,Categorías,"'admin.automation.categories':'Categorías',",
es,admin.automation.countries,Countries,Countries,Countries,Países,Países,Países,Países,"'admin.automation.countries':'Países',",
es,admin.automation.criteria,Criteria,Criteria,Criteria,criterios,criterios,criterios,criterios,"'admin.automation.criteria':'criterios',",
es,admin.automation.description,Description,Description,Description,Descripción,Descripción,Descripción,Descripción,"'admin.automation.description':'Descripción',",
es,admin.automation.detail,Automation,Automation,Automation,Automatización,Automatización,Automatización,Automatización,"'admin.automation.detail':'Automatización',",
es,admin.automation.events,Events,Events,Events,Eventos,Eventos,Eventos,Eventos,"'admin.automation.events':'Eventos',",
es,admin.automation.filters,Filters,Filters,Filters,filtros,filtros,filtros,filtros,"'admin.automation.filters':'filtros',",
es,admin.automation.filtersApplied.one,There is {{count}} filter applied,There is _count}} filter applied,There is _count_var_ filter applied,Hay filtro _count_var_ aplicado,Hay filtro _count}} aplicado,Hay filtro {{count}} aplicado,Hay filtro {{count}} aplicado,"'admin.automation.filtersApplied.one':'Hay filtro {{count}} aplicado',",
es,admin.automation.filtersApplied.other,There are {{count}} filters applied,There are _count}} filters applied,There are _count_var_ filters applied,Hay filtros aplicados _count_var_,Hay filtros aplicados _count}},Hay filtros aplicados {{count}},Hay filtros aplicados {{count}},"'admin.automation.filtersApplied.other':'Hay filtros aplicados {{count}}',",
es,admin.automation.locations,Locations,Locations,Locations,Ubicaciones,Ubicaciones,Ubicaciones,Ubicaciones,"'admin.automation.locations':'Ubicaciones',",
es,admin.automation.new,New Automation,New Automation,New Automation,nueva Automatización,nueva Automatización,nueva Automatización,nueva Automatización,"'admin.automation.new':'nueva Automatización',",
es,admin.automation.one,Automation,Automation,Automation,Automatización,Automatización,Automatización,Automatización,"'admin.automation.one':'Automatización',",
es,admin.automation.other,Automations,Automations,Automations,automatizaciones,automatizaciones,automatizaciones,automatizaciones,"'admin.automation.other':'automatizaciones',",
es,admin.automation.pf.add,Filter,Filter,Filter,Filtrar,Filtrar,Filtrar,Filtrar,"'admin.automation.pf.add':'Filtrar',",
es,admin.automation.placeholder.available_filter,Please select a filter,Please select a filter,Please select a filter,"Por favor, seleccione un filtro","Por favor, seleccione un filtro","Por favor, seleccione un filtro","Por favor, seleccione un filtro","'admin.automation.placeholder.available_filter':'Por favor, seleccione un filtro',",
es,admin.automation.priorities,Priorities,Priorities,Priorities,prioridades,prioridades,prioridades,prioridades,"'admin.automation.priorities':'prioridades',",
es,admin.automation.search,Search Automations,Search Automations,Search Automations,Automatización de búsqueda,Automatización de búsqueda,Automatización de búsqueda,Automatización de búsqueda,"'admin.automation.search':'Automatización de búsqueda',",
es,admin.automation.section.details,Details,Details,Details,detalles,detalles,detalles,detalles,"'admin.automation.section.details':'detalles',",
es,admin.automation.section.filters,Filters,Filters,Filters,filtros,filtros,filtros,filtros,"'admin.automation.section.filters':'filtros',",
es,admin.automation.selected_in,selected in:,selected in:,selected in:,seleccionada en:,seleccionada en:,seleccionada en:,seleccionada en:,"'admin.automation.selected_in':'seleccionada en:',",
es,admin.automation.states,States,States,States,Unidos,Unidos,Unidos,Unidos,"'admin.automation.states':'Unidos',",
es,admin.category.label.children,Sub Categories,Sub Categories,Sub Categories,sub Categorías,sub Categorías,sub Categorías,sub Categorías,"'admin.category.label.children':'sub Categorías',",
es,admin.category.label.cost_amount,Cost Amount,Cost Amount,Cost Amount,Monto costo,Monto costo,Monto costo,Monto costo,"'admin.category.label.cost_amount':'Monto costo',",
es,admin.category.label.cost_code,Cost Code,Cost Code,Cost Code,Código de costo,Código de costo,Código de costo,Código de costo,"'admin.category.label.cost_code':'Código de costo',",
es,admin.category.label.cost_currency,Cost Currency,Cost Currency,Cost Currency,moneda coste,moneda coste,moneda coste,moneda coste,"'admin.category.label.cost_currency':'moneda coste',",
es,admin.category.label.description,Description,Description,Description,Descripción,Descripción,Descripción,Descripción,"'admin.category.label.description':'Descripción',",
es,admin.category.label.general,General,General,General,General,General,General,General,"'admin.category.label.general':'General',",
es,admin.category.label.label,Label,Label,Label,Etiqueta,Etiqueta,Etiqueta,Etiqueta,"'admin.category.label.label':'Etiqueta',",
es,admin.category.label.name,Name,Name,Name,Nombre,Nombre,Nombre,Nombre,"'admin.category.label.name':'Nombre',",
es,admin.category.label.subcategory_label,Sub Category Label,Sub Category Label,Sub Category Label,Etiqueta de categoría sub,Etiqueta de categoría sub,Etiqueta de categoría sub,Etiqueta de categoría sub,"'admin.category.label.subcategory_label':'Etiqueta de categoría sub',",
es,admin.category.labelCat.issue,Issue,Issue,Issue,Problema,Problema,Problema,Problema,"'admin.category.labelCat.issue':'Problema',",
es,admin.category.labelCat.trade,Trade,Trade,Trade,Comercio,Comercio,Comercio,Comercio,"'admin.category.labelCat.trade':'Comercio',",
es,admin.category.labelCat.type,Type,Type,Type,Tipo,Tipo,Tipo,Tipo,"'admin.category.labelCat.type':'Tipo',",
es,admin.category.name.loss_prevention,Loss Prevention,Loss Prevention,Loss Prevention,Loss Prevention,Loss Prevention,Loss Prevention,Loss Prevention,"'admin.category.name.loss_prevention':'Loss Prevention',",
es,admin.category.name.maintenance,Maintenance,Maintenance,Maintenance,Mantenimiento,Mantenimiento,Mantenimiento,Mantenimiento,"'admin.category.name.maintenance':'Mantenimiento',",
es,admin.category.name.repair,Repair,Repair,Repair,Reparar,Reparar,Reparar,Reparar,"'admin.category.name.repair':'Reparar',",
es,admin.category.new,New Category,New Category,New Category,Nueva categoría,Nueva categoría,Nueva categoría,Nueva categoría,"'admin.category.new':'Nueva categoría',",
es,admin.category.one,Category,Category,Category,Categoría,Categoría,Categoría,Categoría,"'admin.category.one':'Categoría',",
es,admin.category.other,Categories,Categories,Categories,Categorías,Categorías,Categorías,Categorías,"'admin.category.other':'Categorías',",
es,admin.category.search,Search Categories,Search Categories,Search Categories,Buscar Categorías,Buscar Categorías,Buscar Categorías,Buscar Categorías,"'admin.category.search':'Buscar Categorías',",
es,admin.category.section.cost,Cost Information,Cost Information,Cost Information,Información de Costos,Información de Costos,Información de Costos,Información de Costos,"'admin.category.section.cost':'Información de Costos',",
es,admin.category.section.details,Details,Details,Details,detalles,detalles,detalles,detalles,"'admin.category.section.details':'detalles',",
es,admin.category.section.other,Organization,Organization,Organization,Organización,Organización,Organización,Organización,"'admin.category.section.other':'Organización',",
es,admin.category.status.active,Active,Active,Active,Activo,Activo,Activo,Activo,"'admin.category.status.active':'Activo',",
es,admin.category.status.inactive,Inactive,Inactive,Inactive,Inactivo,Inactivo,Inactivo,Inactivo,"'admin.category.status.inactive':'Inactivo',",
es,admin.categoryType.one,Category Type,Category Type,Category Type,Categoría Tipo,Categoría Tipo,Categoría Tipo,Categoría Tipo,"'admin.categoryType.one':'Categoría Tipo',",
es,admin.categoryType.other,Category Types,Category Types,Category Types,Tipos categoría,Tipos categoría,Tipos categoría,Tipos categoría,"'admin.categoryType.other':'Tipos categoría',",
es,admin.company.one,Company,Company,Company,Empresa,Empresa,Empresa,Empresa,"'admin.company.one':'Empresa',",
es,admin.company.other,Companies,Companies,Companies,Compañías,Compañías,Compañías,Compañías,"'admin.company.other':'Compañías',",
es,admin.contractor-assignment,Preferred Providers,Preferred Providers,Preferred Providers,Los Proveedores preferidos,Los Proveedores preferidos,Los Proveedores preferidos,Los Proveedores preferidos,"'admin.contractor-assignment':'Los Proveedores preferidos',",
es,admin.contractor.one,Contractor,Contractor,Contractor,Contratista,Contratista,Contratista,Contratista,"'admin.contractor.one':'Contratista',",
es,admin.contractor.other,Contractors,Contractors,Contractors,Contratistas,Contratistas,Contratistas,Contratistas,"'admin.contractor.other':'Contratistas',",
es,admin.contractorautomation.one,Contractor automation,Contractor automation,Contractor automation,contratista de automatización,contratista de automatización,contratista de automatización,contratista de automatización,"'admin.contractorautomation.one':'contratista de automatización',",
es,admin.contractorautomation.other,Contractor automations,Contractor automations,Contractor automations,automatizaciones contratista,automatizaciones contratista,automatizaciones contratista,automatizaciones contratista,"'admin.contractorautomation.other':'automatizaciones contratista',",
es,admin.currency.eur,EUR,EUR,EUR,EUR,EUR,EUR,EUR,"'admin.currency.eur':'EUR',",
es,admin.currency.jpy,JPY,JPY,JPY,Guay,Guay,Guay,Guay,"'admin.currency.jpy':'Guay',",
es,admin.currency.usd,USD,USD,USD,Dólar estadounidense,Dólar estadounidense,Dólar estadounidense,Dólar estadounidense,"'admin.currency.usd':'Dólar estadounidense',",
es,admin.dt.requester,Requester,Requester,Requester,solicitante,solicitante,solicitante,solicitante,"'admin.dt.requester':'solicitante',",
es,admin.dtd.detail,Detail,Detail,Detail,Detalle,Detalle,Detalle,Detalle,"'admin.dtd.detail':'Detalle',",
es,admin.dtd.empty-detail,Select a definition to get started,Select a definition to get started,Select a definition to get started,Seleccione una definición para empezar,Seleccione una definición para empezar,Seleccione una definición para empezar,Seleccione una definición para empezar,"'admin.dtd.empty-detail':'Seleccione una definición para empezar',",
es,admin.dtd.field.add,Add Field,Add Field,Add Field,Agregue campo,Agregue campo,Agregue campo,Agregue campo,"'admin.dtd.field.add':'Agregue campo',",
es,admin.dtd.label.description,Description,Description,Description,Descripción,Descripción,Descripción,Descripción,"'admin.dtd.label.description':'Descripción',",
es,admin.dtd.label.destination,Destination,Destination,Destination,Destino,Destino,Destino,Destino,"'admin.dtd.label.destination':'Destino',",
es,admin.dtd.label.field_type,Field Type,Field Type,Field Type,Tipo de campo,Tipo de campo,Tipo de campo,Tipo de campo,"'admin.dtd.label.field_type':'Tipo de campo',",
es,admin.dtd.label.field.asset_select,Asset select,Asset select,Asset select,activos seleccione,activos seleccione,activos seleccione,activos seleccione,"'admin.dtd.label.field.asset_select':'activos seleccione',",
es,admin.dtd.label.field.check_in,Check in,Check in,Check in,Registrarse,Registrarse,Registrarse,Registrarse,"'admin.dtd.label.field.check_in':'Registrarse',",
es,admin.dtd.label.field.check_out,Check out,Check out,Check out,Revisa,Revisa,Revisa,Revisa,"'admin.dtd.label.field.check_out':'Revisa',",
es,admin.dtd.label.field.checkbox,Checkbox,Checkbox,Checkbox,Caja,Caja,Caja,Caja,"'admin.dtd.label.field.checkbox':'Caja',",
es,admin.dtd.label.field.file,File,File,File,Archivo,Archivo,Archivo,Archivo,"'admin.dtd.label.field.file':'Archivo',",
es,admin.dtd.label.field.number,Number,Number,Number,Número,Número,Número,Número,"'admin.dtd.label.field.number':'Número',",
es,admin.dtd.label.field.select,Select,Select,Select,Seleccionar,Seleccionar,Seleccionar,Seleccionar,"'admin.dtd.label.field.select':'Seleccionar',",
es,admin.dtd.label.field.text,Text,Text,Text,Texto,Texto,Texto,Texto,"'admin.dtd.label.field.text':'Texto',",
es,admin.dtd.label.field.textarea,Textarea,Textarea,Textarea,Área de texto,Área de texto,Área de texto,Área de texto,"'admin.dtd.label.field.textarea':'Área de texto',",
es,admin.dtd.label.field.with_options,With options,With options,With options,con opciones,con opciones,con opciones,con opciones,"'admin.dtd.label.field.with_options':'con opciones',",
es,admin.dtd.label.fields,Fields,Fields,Fields,Campos,Campos,Campos,Campos,"'admin.dtd.label.fields':'Campos',",
es,admin.dtd.label.files,Files,Files,Files,archivos,archivos,archivos,archivos,"'admin.dtd.label.files':'archivos',",
es,admin.dtd.label.key,Key,Key,Key,Llave,Llave,Llave,Llave,"'admin.dtd.label.key':'Llave',",
es,admin.dtd.label.label,Label,Label,Label,Etiqueta,Etiqueta,Etiqueta,Etiqueta,"'admin.dtd.label.label':'Etiqueta',",
es,admin.dtd.label.link_type,Link Type,Link Type,Link Type,Tipo de enlace,Tipo de enlace,Tipo de enlace,Tipo de enlace,"'admin.dtd.label.link_type':'Tipo de enlace',",
es,admin.dtd.label.link.action_button,Action Button,Action Button,Action Button,Botón acción,Botón acción,Botón acción,Botón acción,"'admin.dtd.label.link.action_button':'Botón acción',",
es,admin.dtd.label.link.is_header,Is Header,Is Header,Is Header,es cabecera,es cabecera,es cabecera,es cabecera,"'admin.dtd.label.link.is_header':'es cabecera',",
es,admin.dtd.label.link.priority,Priority,Priority,Priority,Prioridad,Prioridad,Prioridad,Prioridad,"'admin.dtd.label.link.priority':'Prioridad',",
es,admin.dtd.label.link.request,Request,Request,Request,Solicitud,Solicitud,Solicitud,Solicitud,"'admin.dtd.label.link.request':'Solicitud',",
es,admin.dtd.label.link.status,Status,Status,Status,Estado,Estado,Estado,Estado,"'admin.dtd.label.link.status':'Estado',",
es,admin.dtd.label.link.text,Text,Text,Text,Texto,Texto,Texto,Texto,"'admin.dtd.label.link.text':'Texto',",
es,admin.dtd.label.links,Links,Links,Links,Campo de golf,Campo de golf,Campo de golf,Campo de golf,"'admin.dtd.label.links':'Campo de golf',",
es,admin.dtd.label.note,Note,Note,Note,Nota,Nota,Nota,Nota,"'admin.dtd.label.note':'Nota',",
es,admin.dtd.label.note_type,Note Type,Note Type,Note Type,nota Tipo,nota Tipo,nota Tipo,nota Tipo,"'admin.dtd.label.note_type':'nota Tipo',",
es,admin.dtd.label.option_text,Option Text,Option Text,Option Text,opción de texto,opción de texto,opción de texto,opción de texto,"'admin.dtd.label.option_text':'opción de texto',",
es,admin.dtd.label.options,Options,Options,Options,opciones,opciones,opciones,opciones,"'admin.dtd.label.options':'opciones',",
es,admin.dtd.label.prompt,Prompt,Prompt,Prompt,Rápido,Rápido,Rápido,Rápido,"'admin.dtd.label.prompt':'Rápido',",
es,admin.dtd.label.required,Required,Required,Required,Necesario,Necesario,Necesario,Necesario,"'admin.dtd.label.required':'Necesario',",
es,admin.dtd.link_type.buttons,Button,Button,Button,Botón,Botón,Botón,Botón,"'admin.dtd.link_type.buttons':'Botón',",
es,admin.dtd.link_type.links,List,List,List,Lista,Lista,Lista,Lista,"'admin.dtd.link_type.links':'Lista',",
es,admin.dtd.link.add,Add Link,Add Link,Add Link,Agregar enlace,Agregar enlace,Agregar enlace,Agregar enlace,"'admin.dtd.link.add':'Agregar enlace',",
es,admin.dtd.list,List,List,List,Lista,Lista,Lista,Lista,"'admin.dtd.list':'Lista',",
es,admin.dtd.new,New,New,New,Nuevo,Nuevo,Nuevo,Nuevo,"'admin.dtd.new':'Nuevo',",
es,admin.dtd.note_type.danger,Danger,Danger,Danger,Peligro,Peligro,Peligro,Peligro,"'admin.dtd.note_type.danger':'Peligro',",
es,admin.dtd.note_type.info,Info,Info,Info,información,información,información,información,"'admin.dtd.note_type.info':'información',",
es,admin.dtd.note_type.success,Success,Success,Success,Éxito,Éxito,Éxito,Éxito,"'admin.dtd.note_type.success':'Éxito',",
es,admin.dtd.note_type.warning,Warning,Warning,Warning,Advertencia,Advertencia,Advertencia,Advertencia,"'admin.dtd.note_type.warning':'Advertencia',",
es,admin.dtd.one,Decision Tree,Decision Tree,Decision Tree,Árbol de decisión,Árbol de decisión,Árbol de decisión,Árbol de decisión,"'admin.dtd.one':'Árbol de decisión',",
es,admin.dtd.option.add,Add Option,Add Option,Add Option,Añadir Opción,Añadir Opción,Añadir Opción,Añadir Opción,"'admin.dtd.option.add':'Añadir Opción',",
es,admin.dtd.other,Decision Tree,Decision Tree,Decision Tree,Árbol de decisión,Árbol de decisión,Árbol de decisión,Árbol de decisión,"'admin.dtd.other':'Árbol de decisión',",
es,admin.dtd.preview,Preview,Preview,Preview,Avance,Avance,Avance,Avance,"'admin.dtd.preview':'Avance',",
es,admin.dtd.search,Search Definitions,Search Definitions,Search Definitions,Definiciones de búsqueda,Definiciones de búsqueda,Definiciones de búsqueda,Definiciones de búsqueda,"'admin.dtd.search':'Definiciones de búsqueda',",
es,admin.dtd.title.display,Display,Display,Display,Monitor,Monitor,Monitor,Monitor,"'admin.dtd.title.display':'Monitor',",
es,admin.dtd.title.fields,Fields,Fields,Fields,Campos,Campos,Campos,Campos,"'admin.dtd.title.fields':'Campos',",
es,admin.dtd.title.navigation,Navigation,Navigation,Navigation,Navegación,Navegación,Navegación,Navegación,"'admin.dtd.title.navigation':'Navegación',",
es,admin.email.add,Add Email,Add Email,Add Email,Añadir Correo,Añadir Correo,Añadir Correo,Añadir Correo,"'admin.email.add':'Añadir Correo',",
es,admin.emailtype.location,Location,Location,Location,Ubicación,Ubicación,Ubicación,Ubicación,"'admin.emailtype.location':'Ubicación',",
es,admin.emailtype.personal,Personal,Personal,Personal,Personal,Personal,Personal,Personal,"'admin.emailtype.personal':'Personal',",
es,admin.emailtype.sms,SMS,SMS,SMS,SMS,SMS,SMS,SMS,"'admin.emailtype.sms':'SMS',",
es,admin.emailtype.work,Work,Work,Work,Trabajo,Trabajo,Trabajo,Trabajo,"'admin.emailtype.work':'Trabajo',",
es,admin.general.one,Tenant,Tenant,Tenant,Inquilino,Inquilino,Inquilino,Inquilino,"'admin.general.one':'Inquilino',",
es,admin.general.other,Tenants,Tenants,Tenants,Los inquilinos,Los inquilinos,Los inquilinos,Los inquilinos,"'admin.general.other':'Los inquilinos',",
es,admin.invoice.draft,Draft,Draft,Draft,Borrador,Borrador,Borrador,Borrador,"'admin.invoice.draft':'Borrador',",
es,admin.invoice.new,New,New,New,Nuevo,Nuevo,Nuevo,Nuevo,"'admin.invoice.new':'Nuevo',",
es,admin.invoice.select_assign.all,All,All,All,Todas,Todas,Todas,Todas,"'admin.invoice.select_assign.all':'Todas',",
